Model,RMSE,MAE,MAPE,Smoothing Method,Country
XGBoost,176.24463405107898,129.59695902174494,0.953003,Rolling Mean,Ukraine
LightGBM,199.7425735569963,147.65830022036337,1.928019,Rolling Mean,Ukraine
TFT,328.73643102780267,178.05728284774287,78.240318,Rolling Mean,Ukraine
LSTM,493.3887023925781,316.5847473144531,275.777161,Rolling Mean,Ukraine
XGBoost,95.72411614676102,66.19770406030901,33286356772.358974,Rolling Mean,Bulgaria
LightGBM,110.22108265698235,95.40030788185054,47766626983.118401,Rolling Mean,Bulgaria
TFT,106.1586295168973,73.39580037516609,706165027439.065918,Rolling Mean,Bulgaria
LSTM,265.50396728515625,225.91212463378906,285.660767,Rolling Mean,Bulgaria
XGBoost,29.76910582951052,22.20186963939316,14201048574.244745,Rolling Mean,Slovenia
LightGBM,38.88954281315467,32.89812991363751,23196817611.911552,Rolling Mean,Slovenia
TFT,49.0805405234176,38.47881950870314,435003736304.537109,Rolling Mean,Slovenia
LSTM,118.28936004638672,90.7978744506836,148091453440.000000,Rolling Mean,Slovenia
XGBoost,665.8801151500587,455.15434131532805,383432971585.243713,Rolling Mean,Greece
LightGBM,685.6741747924527,528.6513025154625,471487667620.469910,Rolling Mean,Greece
TFT,699.8982860467137,611.8261541551126,38355369794112.078125,Rolling Mean,Greece
LSTM,1664.9493408203125,1386.2808837890625,3953475715072.000000,Rolling Mean,Greece
XGBoost,253.9625109336678,121.98612164715892,9336113.813659,Kalman Filter,Ukraine
LightGBM,244.05532324177776,197.27772855161044,53473575243.860825,Kalman Filter,Ukraine
TFT,222.3559549716432,137.51582465633268,95.711912,Kalman Filter,Ukraine
LSTM,505.0171203613281,318.53570556640625,102574882816.000000,Kalman Filter,Ukraine
XGBoost,76.38904948359362,53.48510750332528,6240743206.597331,Kalman Filter,Bulgaria
LightGBM,121.81789693415172,107.48219086715217,52880180125.788246,Kalman Filter,Bulgaria
TFT,56.121224645417875,43.75958108901655,490660337880.932739,Kalman Filter,Bulgaria
LSTM,213.47360229492188,139.5910186767578,47.066269,Kalman Filter,Bulgaria
XGBoost,57.704193526767675,45.28590035464109,6384019544.271842,Kalman Filter,Slovenia
LightGBM,35.26462154064085,26.26334771484668,29817019158.594875,Kalman Filter,Slovenia
TFT,19.80605916158569,14.336676320718801,1968124609487.156494,Kalman Filter,Slovenia
LSTM,123.12113952636719,93.42823028564453,46.648384,Kalman Filter,Slovenia
XGBoost,997.5043611632593,799.7892290008291,351848223286.451782,Kalman Filter,Greece
LightGBM,807.052502079845,680.0559916093897,501094900685.175293,Kalman Filter,Greece
TFT,501.8580134690505,361.18061287172054,39483953133371.953125,Kalman Filter,Greece
LSTM,1049.527587890625,845.7171020507812,2198864658432.000000,Kalman Filter,Greece
XGBoost,288.5018671902569,138.45308234147674,104207656.415050,EWMA,Ukraine
LightGBM,223.2114253520509,174.2072510382112,46374352910.777473,EWMA,Ukraine
TFT,279.0975262390669,152.07896572543729,65.833865,EWMA,Ukraine
LSTM,486.76947021484375,339.4967041015625,20794910.000000,EWMA,Ukraine
XGBoost,77.51838974030507,51.96374229943014,7256823509.171186,EWMA,Bulgaria
LightGBM,124.46353057207477,111.51447296183457,50425717697.798637,EWMA,Bulgaria
TFT,84.88158465295093,58.38586659585276,27.310455,EWMA,Bulgaria
LSTM,183.75198364257812,149.64871215820312,144.663803,EWMA,Bulgaria
XGBoost,52.07208308509196,41.426906881772005,9783922011.060831,EWMA,Slovenia
LightGBM,33.30053914887216,23.117813085012585,33173094880.316898,EWMA,Slovenia
TFT,41.42094082519664,34.49696491610297,1613025582235.177979,EWMA,Slovenia
LSTM,124.92414093017578,96.18971252441406,193219362816.000000,EWMA,Slovenia
XGBoost,1005.0846342754807,803.5312398183565,381214363344.419617,EWMA,Greece
LightGBM,938.8615182039764,788.8642581280245,462082213733.213623,EWMA,Greece
TFT,610.490485006527,516.2876764112871,29353009231970.363281,EWMA,Greece
LSTM,919.7545776367188,738.86669921875,4306209341440.000000,EWMA,Greece
XGBoost,183.38171253065138,101.36388294701142,0.938266,STL Trend,Ukraine
LightGBM,265.17718351334696,182.18153028938266,35192132427.113731,STL Trend,Ukraine
TFT,144.49440380177276,91.01055705162953,89.686425,STL Trend,Ukraine
LSTM,356.53125,236.57113647460938,1495951.750000,STL Trend,Ukraine
XGBoost,88.60344795965207,59.37573747488891,14665.675855,STL Trend,Bulgaria
LightGBM,139.83970628027382,121.86062319858036,47803701557.313492,STL Trend,Bulgaria
TFT,77.88605756318856,55.70997500056934,3009102.032514,STL Trend,Bulgaria
LSTM,176.31814575195312,122.74442291259766,170.915222,STL Trend,Bulgaria
XGBoost,40.493202741069695,31.15615898192817,420139.530132,STL Trend,Slovenia
LightGBM,34.291696001572596,25.877325813977137,23670820144.457577,STL Trend,Slovenia
TFT,23.067755908497226,18.954726109877342,774491.941453,STL Trend,Slovenia
LSTM,71.85414123535156,49.28654098510742,274595.906250,STL Trend,Slovenia
XGBoost,434.0340493441508,333.0882941725886,402153556577.669128,STL Trend,Greece
LightGBM,515.5053398192148,398.0279809734426,442492093953.457214,STL Trend,Greece
TFT,1247.3300471393832,1177.6391246057483,14725475.385478,STL Trend,Greece
LSTM,466.3680725097656,335.0107727050781,1530827.625000,STL Trend,Greece
